Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;30600;1200;Kælder ydervægge;2;Udvendig efterisolering af kælderydervægge mod jord med 200 mm;1-2-4-0
False;False;60100;900;Lette ydervægge;6;Efterisolering af lette ydervægge af træ med 200 mm isolering og fjernelse af eksisterende isolering;1-2-3-0
False;True;63000;5500;Varmtvandsrør;9;Isolering af brugsvandsrør og cirkulationsledning op til 50 mm;3-1-3-0
False;True;74000;7900;Varmerør;0;Isolering af varmerør op til 50 mm;2-2-2-0
False;True;77900;7900;Kælder ydervægge;3;Udvendig efterisolering af kælderydervægge over jord med 200 mm;1-2-4-0
False;False;219600;1000;Terrændæk;1;Ophugning af eksisterende terrændæk og støbning af nyt med 300 mm mineraluld eller polystyrenplader;1-4-1-0
False;True;259000;16600;Massive vægge mod uopvarmet rum;4;Indvendig efterisolering af vægge mod uopvarmet rum med 200 mm;1-2-2-1
False;False;394100;3400;Lette ydervægge;5;Efterisolering af lette ydervægge af træ med 200 mm isolering og fjernelse af eksisterende isolering;1-2-3-0
False;False;455400;1600;Kældergulv;11;Ophugning af eksisterende kældergulv og støbning af nyt med 300 mm mineraluld eller polystyrenplader;1-4-4-0
False;False;648000;8900;Yderdøre;7;Udskiftning af eksisterende terrassedør;1-3-3-0
False;True;700200;23700;Etageadskillelse;10;Efterisolering af gulv mod uopvarmet kælder med 200 mm isolering;1-4-2-0
False;False;1531200;22300;Vinduer;8;Udskiftning af eksisterende vinduer;1-3-1-0
