Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;1200;30;Lette ydervægge;9;Udvendig efterisolering af kvistflunke med 200 mm;1-2-3-0
False;True;5000;600;Varmefordelingspumper;1;Udskiftning af den eksisterende fordelingspumpe.;2-2-3-0
False;True;10500;600;Vinduer;10;Udskiftning af eksisterende vindue og Udskiftning af eksisterende vinduer;1-3-1-0
False;True;11200;600;Loft;7;Efterisolering af lodret skunk med 300 mm isolering og Efterisolering af vandret skunk med 300 mm isolering;1-1-1-0
False;False;12000;300;Loft;8;Efterisolering af hanebåndsloft med 200 mm isolering;1-1-1-0
False;True;12800;800;Vinduer;11;Udskiftning af ruder i eksisterende vinduer;1-3-1-0
False;True;22400;9000;Hule ydervægge;4;Isolering af uisolerede hule ydervægge af tegl ved indblæsning af mineraluldsgranulat;1-2-1-0
False;True;31500;900;Loft;6;Udvendig efterisolering af skråvægge med 350 mm isolering og fjernelse af eksisterende isolering ;1-1-1-0
False;True;37700;2900;Massive ydervægge;5;Indvendig efterisolering af massive ydervægge med 200 mm;1-2-2-0
False;True;37700;1600;Yderdøre;12;Udskiftning af dør mod udhus., Udskiftning af eksisterende yderdør, Udskiftning af eksisterende hoveddør, Udskiftning af dør mod kanap. og Udskiftning af eksisterende terrassedør;1-3-3-0
False;False;51700;500;Terrændæk;3;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
False;False;90000;2300;Solceller;2;Montage af nye solceller;4-1-3-0
False;True;102000;11700;Varmepumper;0;Konvertering til varmepumpe og Installation af ny on/off styret luft/vand varmepumpe;2-1-5-0
