Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;13800;300;Loft;5;Efterisolering af vandret skunk med 200 mm isolering;1-1-1-0
False;False;15800;200;Fladt tag;6;Efterisolering af fladt tag med 200 mm isolering, så den samlede isolering udgør 350 mm ;1-1-2-0
False;True;16800;500;Loft;4;Efterisolering af lodret skunk med 250 mm isolering;1-1-1-0
False;True;24700;2300;Solvarme;10;Installation af nyt solvarmeanlæg til brugsvandsproduktion og Installation af ny varmtvandsbeholder;2-1-6-0
False;False;30100;500;Yderdøre;9;Udskiftning af eksisterende yderdør;1-3-3-0
False;False;47400;800;Etageadskillelse;7;Efterisolering af etageadskillelse mod det fri med 200 mm isolering;1-4-2-0
False;True;53500;1500;Loft;2;Efterisolering af loftsrum med 250 mm isolering;1-1-1-0
False;False;71000;1600;Loft;3;Indvendig efterisolering af skråvægge med 250 mm isolering;1-1-1-0
False;False;73700;900;Hule ydervægge;0;Indvendig montage af forsatsvæg med 50 mm isolering;1-2-1-0
False;False;169300;3000;Vinduer;8;Udskiftning af eksisterende vinduer;1-3-1-0
False;False;351000;900;Terrændæk;1;Ophugning af eksisterende terrændæk og støbning af nyt med 250 mm mineraluld eller polystyrenplader;1-4-1-0
