Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;12000;200;Ovenlys;11;Udskiftning af eksisterende ovenlysvinduer;1-3-2-0
False;False;13500;200;Loft;0;Efterisolering af hanebåndsloft med 250 mm isolering;1-1-1-0
False;False;19700;400;Yderdøre;8;Udskiftning af eksisterende yderdør og Udskiftning af yderdør;1-3-3-0
False;False;23400;300;Yderdøre;10;Udskiftning af eksisterende terrassedør;1-3-3-0
False;False;29700;80;Lette ydervægge;3;Efterisolering af lette ydervægge af træ med 250 mm isolering og fjernelse af eksisterende isolering;1-2-3-0
False;False;31200;600;Loft;2;Efterisolering af lukket etageadskillelse mod uopvarmet skunk med 250 mm isolering;1-1-1-0
False;False;54600;200;Terrændæk;5;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
False;False;57900;80;Terrændæk;7;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
False;False;61600;400;Loft;1;Udvendig efterisolering af skråvægge med 250 mm isolering;1-1-1-0
False;False;79100;1200;Vinduer;9;Udskiftning af eksisterende vinduer;1-3-1-0
False;False;102600;900;Hule ydervægge;4;Udvendig efterisolering med 100 mm isolering og afsluttende facadepuds;1-2-1-0
False;False;202100;600;Terrændæk;6;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
