Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;4500;1900;Automatik;11;Montage af nye termostatventiler, på alle radiatorer;2-2-4-0
False;True;5500;800;Varmefordelingspumper;9;Ny varmefordelingspumpe;2-2-3-0
False;False;6000;200;Ovenlys;8;Udskiftning af eksisterende ovenlysvinduer uden energiglas;1-3-2-0
False;True;8400;4900;Varmerør;10;Isolering af varmerør op til 50 mm;2-2-2-0
False;True;10000;600;Varmeanlæg;12;Demontering af el-gulvvarme ;2-1-1-0
False;True;11400;500;Loft;4;Indvendig efterisolering af skråvægge med 100 mm isolering;1-1-1-0
False;True;16200;600;Loft;2;Efterisolering af skunke med op til 300 mm isolering;1-1-1-0
False;False;16400;400;Yderdøre;5;Udskiftning af døre mod uopvarmet kælderrum;1-3-3-0
False;False;16600;400;Loft;3;Efterisolering af hanebåndsloft med 200 mm isolering;1-1-1-0
False;False;18500;600;Yderdøre;7;Udskiftning af eksisterende yderdøre uden energiglas;1-3-3-0
False;True;27000;6400;Etageadskillelse;1;Isolering af uisoleret gulv mod uopvarmet kælder med 100 mm isolering ;1-4-2-0
False;True;40300;2400;Solceller;0;Montage af nye solceller;4-1-3-0
False;False;82900;2600;Vinduer;6;Udskiftning af eksisterende vinduer uden energiglas;1-3-1-0
