Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;1400;900;Automatik;0;Montage af termostatventiler på radiatorer.;2-2-4-0
False;False;2800;90;Ovenlys;15;Udskiftning af ovenlysvindue med almindelig termorude til nyt med 3 lags energirude.;1-3-2-0
False;True;5800;800;Varmerør;1;Isolering af varmerør i skunkrum og i tagrum i baghus, ligeledes isoleres tilslutningsrør til varmtvandsbeholder.;2-2-2-0
False;True;6500;400;Loft;11;Efterisolering af en del af hanebåndsloft med 250 mm isolering.;1-1-1-0
False;True;8100;600;Loft;8;Efterisolering af loftsrum i baghus med 250 mm isolering.;1-1-1-0
False;True;9600;500;Yderdøre;13;Udskiftning af dør med almindelig termorude til ny med 3 lags energirude.;1-3-3-0
False;False;10100;200;Massive ydervægge;12;Indvendig efterisolering af kvistsider med 250 mm.;1-2-2-0
False;True;10500;2200;Varmeanlæg;4;Nedrivning af EL-radiator i værelse på 1. sal og etablering af nyt varmefordelingsanlæg til radiator i værelse på 1. sal.;2-1-1-0
False;True;10900;400;Vinduer;14;Udskiftning af vinduer med  almindelige termoruder til nye med 3 lags energirude.;1-3-1-0
False;True;13600;500;Loft;10;Indvendig efterisolering af skråvægge med 200 mm isolering i forbindelse med renovering.;1-1-1-0
False;True;16100;700;Loft;9;Efterisolering af skunkrum.;1-1-1-0
False;False;25300;400;Terrændæk;5;Ophugning af eksisterende terrændæk i bryggers og støbning af nyt med 300 mm mineraluld eller polystyrenplader.;1-4-1-0
False;True;67500;4200;Solceller;3;Montage af solceller.;4-1-3-0
False;True;130000;30100;Varmepumper;2;Montering af luft / vand-varmepumpe, solvarmeanlæg, automatik og ny varmtvandsbeholder.;2-1-5-0
False;True;132300;6500;Krybekælder;6;Nedrivning af eksisterende krybekælder i entre og etablering af nyt terrændæk med 300 mm isolering.;1-4-3-0
False;True;171000;13300;Hule ydervægge;7;Isolering af hule ydervægge  med mineraluldsgranulat samt indvendig påforing med 150 mm isolering.;1-2-1-0
