Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;6200;2800;Hule ydervægge;1;Isolering af uisolerede hule ydervægge af tegl ved indblæsning af mineraluldsgranulat;1-2-1-0
False;True;7800;300;Yderdøre;9;Udskiftning af eksisterende yderdør med termorude;1-3-3-0
False;True;13400;500;Loft;7;Efterisolering af loftsrum med 100 mm isolering;1-1-1-0
False;True;14900;800;Hule ydervægge;2;Isolering af uisolerede hule ydervægge af tegl ved indblæsning af mineraluldsgranulat;1-2-1-0
False;True;19800;800;Vinduer;8;Udskiftning af eksisterende vinduer med 2 lags termorude;1-3-1-0
False;True;40000;16100;Kedler;0;Installation af ny pillekedel;2-1-2-0
False;False;52500;2200;Solceller;10;Montage af nye solceller;4-1-3-0
False;False;57600;600;Fladt tag;6;Efterisolering af fladt tag med 100 mm isolering, så den samlede isolering udgør 300 mm ;1-1-2-0
False;False;58800;500;Hule ydervægge;3;Indvendig montage af forsatsvæg med 50 mm isolering;1-2-1-0
False;False;126800;500;Terrændæk;5;Ophugning af eksisterende terrændæk og støbning af nyt med 250 mm mineraluld eller polystyrenplader;1-4-1-0
False;False;133200;1000;Terrændæk;4;Ophugning af eksisterende terrændæk og støbning af nyt med 250 mm mineraluld eller polystyrenplader;1-4-1-0
