Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;False;900;0;Automatik;0;Montage af termostatventiler, radiatorer;2-2-4-0
False;True;2700;900;Hule ydervægge;10;Isolering af uisolerede hule ydervægge af tegl ved indblæsning af mineraluldsgranulat;1-2-1-0
False;False;7500;200;Loft;3;Indvendig efterisolering af skråvægge med 150 mm isolering;1-1-1-0
False;True;15900;1000;Etageadskillelse;2;Isolering af uisoleret gulv mod uopvarmet kælder med 100 mm isolering ;1-4-2-0
False;True;16400;800;Varmerør;1;Isolering af varmerør op til 100 mm;2-2-2-0
False;False;24500;500;Vinduer;9;Udskiftning af eksisterende vinduer;1-3-1-0
False;True;44200;1700;Kælder ydervægge;8;Udvendig efterisolering af kælderydervægge over jord med 200 mm og Udvendig efterisolering af kælderydervægge mod jord med 200 mm;1-2-4-0
False;False;45000;200;Terrændæk;4;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
False;False;50100;300;Krybekælder;7;Nedrivning af eksisterende krybekælder og etablering af nyt terrændæk med 400 mm isolering;1-4-3-0
False;True;53300;1900;Massive vægge mod uopvarmet rum;6;Indvendig efterisolering af vægge mod uopvarmet rum med 200 mm;1-2-2-1
False;False;57000;400;Kældergulv;5;Ophugning af eksisterende kældergulv og støbning af nyt med 300 mm mineraluld eller polystyrenplader;1-4-4-0
