Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
True;True;900;40;Vinduer;11;Udskiftning af eksisterende vindue med 1 lags glas oven for trappe.;1-3-1-0
False;True;2600;200;Etageadskillelse;9;Isolering af uisoleret gulv mod uopvarmet kælder med 200 mm isolering ;1-4-2-0
False;False;2800;70;Loft;3;Efterisolering af loftsrum over tilbygning med 150 mm isolering;1-1-1-0
False;False;3600;70;Loft;13;Indvendig efterisolering af skråvægge over tilbygning med 150 mm isolering;1-1-1-0
False;True;9300;300;Loft;8;Efterisolering af hanebåndsloft med 300 mm isolering;1-1-1-0
False;True;10100;300;Loft;2;Indvendig efterisolering af skråvægge med 200 mm isolering;1-1-1-0
False;True;12900;500;Loft;7;Efterisolering af lodret og vandret skunk med 200 mm isolering og Efterisolering af skunklem med 300 mm isolering og fjernelse af eksisterende isolering fra denne ;1-1-1-0
True;False;21300;200;Lette vægge mod uopvarmet rum;6;Efterisolering af lette vægge mod uopvarmet rum af træ med 200 mm isolering og fjernelse af eksisterende isolering;1-2-3-1
False;True;37400;2200;Massive ydervægge;10;Indvendig efterisolering af massive ydervægge mod udestue og mod det fri med 200 mm;1-2-2-0
False;False;40400;400;Terrændæk;4;Ophugning af eksisterende terrændæk og støbning af nyt med 350 mm mineraluld eller polystyrenplader;1-4-1-0
True;False;52500;2000;Solceller;0;Montage af nye solceller;4-1-3-0
False;False;55300;1200;Vinduer;12;Udskiftning af eksisterende vinduer og Udskiftning af eksisterende yderdør;1-3-1-0
False;False;58900;900;Hule ydervægge;1;Indvendig montage af forsatsvæg med 100 mm isolering;1-2-1-0
False;False;75500;1700;Krybekælder;5;Nedrivning af eksisterende krybekælder og etablering af nyt terrændæk med 350 mm isolering;1-4-3-0
