Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
10000;Belysning;False;4-1-1-0;900;True;9;Lager mod syd (gl. udstilling): Installation af LED panel, med bevægelsesmelder, iht. 2016 krav
16000;Belysning;False;4-1-1-0;800;False;4;"Kontorer: 
Installation af LED panel, med bevægelsesmelder"
20800;Ovenlys;False;1-3-2-0;300;False;2;Udskiftning af eksisterende ovenlysvinduer
29900;Yderdøre;False;1-3-3-0;1100;True;6;Udskiftning af yderdøre
30000;Belysning;False;4-1-1-0;1400;False;8;Lager mod nord og værksted:: Installation af LED panel, med bevægelsesmelder, iht. 2016 krav
80000;Kedler;False;2-1-2-0;23500;True;0;Konvertering til fjernvarme uden veksler
156800;Fladt tag;False;1-1-2-0;4000;True;1;Efterisolering af fladt tag med 250 mm isolering, så den samlede isolering udgør 350 mm 
328000;Vinduer;False;1-3-1-0;15400;True;3;Udskiftning af eksisterende vinduer
675200;Fladt tag;False;1-1-2-0;19700;True;5;Efterisolering af fladt tag med 300 mm isolering, så den samlede isolering udgør 350 mm 
1577000;Terrændæk;False;1-4-1-0;12400;False;7;Ophugning af eksisterende terrændæk og støbning af nyt med 300 mm mineraluld eller polystyrenplader
