Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;2700;500;Automatik;8;Montage af termostatventiler, radiatorer;2-2-4-0
False;False;6800;70;Loft;2;Indvendig efterisolering af skrålofter med 200 mm isolering;1-1-1-0
False;True;8900;300;Loft;4;Efterisolering af vandret skunk med 300 mm isolering;1-1-1-0
False;True;9400;300;Loft;3;Efterisolering af lodret skunk med 300 mm isolering;1-1-1-0
False;False;9500;300;Loft;5;Indvendig efterisolering af skråvægge med 300 mm isolering;1-1-1-0
False;True;13400;1400;Solvarme;15;Installation af nyt solvarmeanlæg til brugsvandsproduktion;2-1-6-0
False;False;16200;100;Yderdøre;11;Udskiftning af eksisterende terrassedør;1-3-3-0
False;False;18700;100;Yderdøre;9;Udskiftning af eksisterende yderdør;1-3-3-0
False;False;27600;200;Lette ydervægge;7;Efterisolering af lette ydervægge af træ med 250 mm isolering og fjernelse af eksisterende isolering;1-2-3-0
False;True;28300;800;Loft;6;Efterisolering af hanebåndsloft med 300 mm isolering;1-1-1-0
False;False;31900;50;Terrændæk;0;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
False;False;50000;-200;Varmtvandsbeholder;14;Installation af ny varmtvandsbeholder;3-1-5-0
False;False;93800;4400;Solceller;12;Montage af nye solceller;4-1-3-0
False;False;97700;400;Terrændæk;1;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
False;False;120000;2600;Varmepumper;13;Installation af ny luft/vand varmepumpe;2-1-5-0
False;False;144800;700;Vinduer;10;Udskiftning af eksisterende vinduer;1-3-1-0
