Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;2300;500;Automatik;10;Montage af termostatventiler, gulvvarme;2-2-4-0
False;False;3200;60;Loft;3;Efterisolering af lodret skunk med 100 mm isolering;1-1-1-0
False;False;3200;70;Ovenlys;4;Udskiftning af eksisterende ovenlysvinduer;1-3-2-0
False;True;3900;300;Varmerør;9;Isolering af varmerør op til 60 mm;2-2-2-0
False;True;3900;400;Varmtvandsrør;11;Isolering af tilslutningsrør til varmtvandsbeholder op til 60 mm;3-1-3-0
False;False;5400;60;Loft;7;Efterisolering af hanebåndsloft med 150 mm isolering;1-1-1-0
False;True;6400;200;Loft;2;Efterisolering af vandret skunk med 150 mm isolering;1-1-1-0
False;False;9500;200;Yderdøre;6;Udskiftning af eksisterende yderdør;1-3-3-0
False;True;13700;500;Loft;1;Indvendig efterisolering af skråvægge med 200 mm isolering;1-1-1-0
False;False;18000;400;Loft;8;Efterisolering af loftsrum med 350 mm isolering;1-1-1-0
False;False;47600;900;Vinduer;5;Udskiftning af eksisterende vinduer;1-3-1-0
False;True;100000;3600;Kedler;12;Konvertering til varmepumpe;2-1-2-0
False;False;112300;2000;Massive ydervægge;0;Udvendig efterisolering af massive ydervægge med 200 mm ;1-2-2-0
