Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
3700;False;Varmtvandsrør;3;True;300;Isolering af tilslutningsrør;3-1-3-0
18600;False;Varmtvandsrør;4;True;2000;Isolering af brugsvandsrør op til 50 mm;3-1-3-0
19100;False;Varmerør;5;False;600;Isolering af varmefordelingsrør op til 50 mm;2-2-2-0
23200;False;Etageadskillelse;7;True;1200;Efterisolering af etageadskillelse mod det fri med 150 mm isolering;1-4-2-0
88400;False;Etageadskillelse;8;True;4300;Efterisolering af etageadskillelse mod det fri med 150 mm isolering;1-4-2-0
125800;False;Belysning;0;False;4000;Kælder og teknikrum:  Udskift rør til LED og monter lys og bevægelses styring;4-1-1-0
266800;False;Vinduer;11;True;11100;Udskiftning af ruder i vinduer med termoruder;1-3-1-0
313700;False;Etageadskillelse;6;False;6600;Efterisolering af gulv mod uopvarmet kælder med 50 mm isolering;1-4-2-0
627500;False;Vinduer;10;True;23100;Udskiftning af ruder i facadepartier med termoruder;1-3-1-0
700000;False;Solceller;1;True;48500;Etablering af solceller;4-1-3-0
880300;False;Fladt tag;9;False;12100;Efterisolering af fladt tag med 200 mm isolering, så den samlede isolering udgør 300 mm ;1-1-2-0
1012000;False;Solvarme;2;False;31300;Etablering af solvarme ;2-1-6-0
