Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
0;False;Loft;0;False;500;Efterisolering af skråvægge;1-1-1-0
500;False;Varmtvandsrør;9;True;90;Isolering af tilslutningsrør med 20 mm rørskåle;3-1-3-0
900;False;Automatik;7;True;60;Montering af termostat(er) på radiatorer;2-2-4-0
4400;False;Loft;8;False;50;Efterisolering af skunkvæg;1-1-1-0
20000;False;Varmepumper;5;False;600;Installation af ny luft-luft varmepumpe;2-1-5-0
28800;False;Yderdøre;2;False;400;Udskiftning af yderdør;1-3-3-0
35000;False;Lette ydervægge;3;False;200;Indvendig efterisolering af træskeletvæg med 250 mm mineraluld;1-2-3-0
100000;False;Solceller;6;True;5800;Montering af et solcelleanlæg på 40 m²;4-1-3-0
106600;False;Vinduer;4;False;1700;Udskiftning af vinduer med nye energivinduer (BR15 krav);1-3-1-0
164500;False;Terrændæk;1;False;500;Etablering af nyt terrændæk;1-4-1-0
