Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
300;False;Loft;10;True;20;Efterisolering af loftslem med 200 mm isolering;1-1-1-0
4600;False;Kælder ydervægge;7;True;200;Udvendig efterisolering af kælderydervægge over jord med 200 mm;1-2-4-0
4600;False;Yderdøre;13;True;400;Udskiftning af yderdør;1-3-3-0
6000;False;Etageadskillelse;5;True;800;Efterisolering af gulv mod uopvarmet kælder med 100 mm isolering;1-4-2-0
8300;False;Vinduer;12;True;300;Udskiftning af eksisterende vinduer;1-3-1-0
9300;False;Yderdøre;11;True;400;Udskiftning af eksisterende yderdør;1-3-3-0
10700;False;Lette ydervægge;3;False;200;Efterisolering af lette ydervægge af træ med 200 mm isolering;1-2-3-0
12500;False;Loft;1;False;300;Efterisolering af loftsrum med 100 mm isolering;1-1-1-0
17000;False;Varmepumper;0;True;12000;Installation af ny omdrejningsstyret luft/luft varmepumpe;2-1-5-0
17000;False;Loft;2;True;700;Efterisolering af loftsrum med 150 mm isolering;1-1-1-0
21000;False;Solvarme;14;True;2600;Installation af nyt solvarmeanlæg til brugsvandsproduktion og installation af ny varmtvandsbeholder;2-1-6-0
28100;False;Massive vægge mod uopvarmet rum;8;True;1300;Indvendig efterisolering af vægge mod uopvarmet rum med 200 mm;1-2-2-1
73000;False;Kælder ydervægge;9;False;500;Udvendig efterisolering af kælderydervægge mod jord med 200 mm;1-2-4-0
81000;False;Kældergulv;6;False;600;Ophugning af eksisterende kældergulv og støbning af nyt med 250 mm mineraluld eller polystyrenplader;1-4-4-0
117100;False;Terrændæk;4;False;1000;Ophugning af eksisterende terrændæk og støbning af nyt med 250 mm mineraluld eller polystyrenplader;1-4-1-0
