Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
2300;False;Loft;5;False;20;Udskiftning af loftslem til ny med 60 mm isolering;1-1-1-0
6600;False;Loft;2;False;90;Efterisolering af loftsrum med 150 mm isolering under gangbro;1-1-1-0
9000;False;Yderdøre;9;False;200;Udskiftning af eksisterende terrassedør;1-3-3-0
9300;False;Yderdøre;7;False;200;Udskiftning af eksisterende yderdør;1-3-3-0
11800;False;Terrændæk;6;False;50;Ophugning af eksisterende terrændæk i badeværelse og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
13400;False;Lette ydervægge;3;False;90;Efterisolering af tagrem af træ med 200 mm isolering;1-2-3-0
36300;False;Loft;1;False;800;Efterisolering af loftsrum med 250 mm isolering;1-1-1-0
42500;False;Vinduer;8;False;900;Udskiftning af eksisterende vinduer;1-3-1-0
67500;False;Solceller;0;False;1900;Montage af nye solceller;4-1-3-0
191600;False;Terrændæk;4;False;500;Ophugning af eksisterende terrændæk i køkken, bryggers, stue/alrum og værelser og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
