Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
0;False;Varmtvandsbeholder;8;False;30;Varmtvandsbeholder til solvarme - 200L;3-1-5-0
10500;False;Yderdøre;4;False;300;Udskiftning af yderdør;1-3-3-0
10500;False;Yderdøre;7;False;300;Udskiftning af yderdør;1-3-3-0
10500;False;Varmerør;9;True;500;Efterisolering af varmerør til en samlet isoleringstykkelse på 50 mm;2-2-2-0
16400;False;Vinduer;3;False;300;Udskiftning af vinduer med nye energivinduer (BR20 krav);1-3-1-0
30600;False;Vinduer;5;False;400;Udskiftning af vinduer med nye energivinduer (BR20 krav);1-3-1-0
32800;False;Vinduer;6;False;500;Udskiftning af vinduer med nye energivinduer (BR20 krav);1-3-1-0
33000;False;Loft;1;True;900;Efterisolering af loft mod uopvarmet tagrum;1-1-1-0
43600;False;Vinduer;2;False;600;Udskiftning af vinduer med nye energivinduer (BR20 krav);1-3-1-0
100000;False;Solceller;0;False;1400;Montering af et solcelleanlæg på 40 m²;4-1-3-0
