Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
3200;False;Ovenlys;9;False;60;Udskiftning af eksisterende ovenlysvinduer;1-3-2-0
5000;False;Varmefordelingspumper;0;True;500;Ny varmefordelingspumpe;2-2-3-0
6900;False;Yderdøre;8;True;300;Udskiftning af af eksisterende vinduesskoder;1-3-3-0
9000;False;Yderdøre;11;True;500;Udskiftning af eksisterende yderdør;1-3-3-0
15700;False;Loft;2;False;400;Efterisolering af hanebåndsloft med 250 mm isolering;1-1-1-0
26000;False;Massive ydervægge;7;True;800;Udvendig efterisolering af massive ydervægge med 200 mm;1-2-2-0
30200;False;Vinduer;10;False;800;Udskiftning af eksisterende vinduer;1-3-1-0
32700;False;Lette ydervægge;5;False;300;Efterisolering af lette ydervægge af træ med 200 mm isolering;1-2-3-0
67500;False;Solceller;1;False;2000;Montage af nye solceller;4-1-3-0
70200;False;Loft;3;False;1200;Udvendig efterisolering af skråvægge med 300 mm isolering;1-1-1-0
77000;False;Massive ydervægge;6;True;2200;Udvendig efterisolering af massive ydervægge med 200 mm;1-2-2-0
169600;False;Terrændæk;4;False;1600;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
