Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
3700;False;Varmerør;6;True;1000;Isolering af varmefordelingsrør op til 60 mm;2-2-2-0
5200;False;Yderdøre;4;False;200;Udskiftning af yderdøre;1-3-3-0
5800;False;Loft;5;False;100;Efterisolering af loftsrum med 200 mm isolering;1-1-1-0
38800;False;Lette ydervægge;1;False;200;Efterisolering af lette ydervægge af tegl/træ med 300 mm isolering;1-2-3-0
52200;False;Lette ydervægge;2;False;100;Efterisolering af lette ydervægge af træ med 250 mm isolering;1-2-3-0
65000;False;Varmefordeling;9;False;500;Etablering af nyt varmefordelingsanlæg til radiatorer;2-2-1-0
120200;False;Solceller;8;True;8200;Montage af nye solceller;4-1-3-0
130000;False;Varmepumper;7;False;-4360;Installation af ny luft/vand varmepumpe;2-1-5-0
231400;False;Lette ydervægge;0;False;800;Efterisolering af lette ydervægge af træ med 300 mm isolering;1-2-3-0
311900;False;Terrændæk;3;False;700;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
