Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
1900;False;Lette ydervægge;4;True;60;Udvendig efterisolering af kvistflunke med 100 mm;1-2-3-0
4500;False;Varmefordelingspumper;0;True;700;Ny varmefordelingspumpe;2-2-3-0
8000;False;Loft;6;True;600;Efterisolering af vandret skunk med 200 mm isolering;1-1-1-0
8200;False;Loft;2;True;600;Efterisolering af hanebåndsloft med 200 mm isolering;1-1-1-0
10100;False;Vinduer;8;True;800;Udskiftning af ruder i vinduer med termoruder;1-3-1-0
11000;False;Loft;5;True;800;Efterisolering af lodret skunk med 200 mm isolering;1-1-1-0
32000;False;Solvarme;10;True;2200;Etablering af solvarme ;2-1-6-0
45900;False;Loft;3;True;1200;Udvendig efterisolering af skråvægge med 200 mm isolering;1-1-1-0
77000;False;Solceller;1;False;3300;Etablering af solceller;4-1-3-0
100000;False;Kedler;9;True;8900;Konvertering til luft/vand varmepumpe;2-1-2-0
153000;False;Terrændæk;7;False;1000;Ophugning af eksisterende terrændæk og støbning af nyt med 300 mm mineraluld eller polystyrenplader;1-4-1-0
