Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
7000;False;Varmt brugsvand;84;True;10100;Montering af ny cirkulationspumpe på brugsvandsanlæg;3-1-0-0
70000;False;Koldt vand;82;False;1100;Udskiftning af eksisterende et skyls toiletter;3-2-0-0
86100;False;Varmefordeling;83;False;800;Efterisolering af varmefordelingsrør;2-2-0-0
116850;False;Varmt brugsvand;85;True;5900;Efterisolering af brugsvandsrør og cirkulationsledning;3-1-0-0
173900;False;Vinduer, ovenlys og døre;79;False;2100;Udskiftning af yderdøre med 2 lags termorude;1-3-0-0
217800;False;Ydervægge;81;False;600;Isolering af vindues brystninger.;1-2-0-0
275000;False;Varmeanlæg;88;True;71600;Kedel nr 1 er installeret i ca. 1994 og betjener ca. 2/3 af skolen samt kirken komplet udskiftning af kedel til kondenserende kedel (Energimærke A);2-0-0-0
566325;False;Tag og loft;80;False;17100;Efterisolering af loft mod uopvarmet tagrum med 150 mm.;1-1-0-0
568600;False;Vinduer, ovenlys og døre;78;False;17200;Udskiftning af 2 lags termoruder til energiruder ;1-3-0-0
900000;False;Belysning;86;True;71100;Automatisk on-off regulering efter dagslyset i zonen samt bevægelsesfølere.;4-1-1-0
2700000;False;Ventilation;87;False;13800;Udskiftning af udsugnings anlæg ved etablering af nyt ventilationsanlæg;1-5-0-0
