Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
6300;False;Loft;2;True;400;Efterisolering af lodret skunk med 250 mm isolering;1-1-1-0
6300;False;Loft;3;True;400;Efterisolering af vandret skunk med 250 mm isolering;1-1-1-0
6700;False;Ovenlys;7;True;700;Udskiftning af ruder i ovenlysvinduer med termoruder;1-3-2-0
8400;False;Yderdøre;8;True;400;Udskiftning af glasdør/terrassedør;1-3-3-0
9500;False;Loft;5;False;200;Efterisolering af hanebåndsloft med 100 mm isolering;1-1-1-0
32000;False;Solvarme;9;True;2900;Etablering af solvarme ;2-1-6-0
33000;False;Vinduer;6;True;3400;Udskiftning af ruder i vinduer med termoruder;1-3-1-0
36000;False;Loft;4;False;800;Udvendig efterisolering af skråvægge med 250 mm isolering;1-1-1-0
77000;False;Solceller;0;False;3500;Etablering af solceller;4-1-3-0
201000;False;Terrændæk;1;False;1500;Ophugning af eksisterende terrændæk og støbning af nyt med 400 mm mineraluld eller polystyrenplader;1-4-1-0
