Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
500;False;Varmtvandsrør;10;True;500;Isolering af tilslutningsrør - motorventil;3-1-3-0
23200;False;Etageadskillelse;4;True;1200;Portgennmgang:  Efterisolering af etageadskillelse mod det fri med 150 mm isolering;1-4-2-0
27600;False;Varmerør;9;True;1400;Isolering af varmefordelingsrør op til 50 mm og ventil;2-2-2-0
31700;False;Varmtvandsrør;11;True;3300;Isolering af brugsvandsrør op til 50 mm;3-1-3-0
114400;False;Etageadskillelse;5;True;5600;Mod det fri ved terrasse på 3. sal:  Efterisolering af etageadskillelse mod det fri med 150 mm isolering;1-4-2-0
260000;False;Belysning;0;True;28600;Kælder:  Udskift rør til LED og monter lys og bevægelses styring;4-1-1-0
421200;False;Vinduer;7;True;17500;Udskiftning af ruder i vinduer med termoruder;1-3-1-0
701600;False;Etageadskillelse;3;False;14800;Efterisolering af gulv mod uopvarmet kælder med 50 mm isolering;1-4-2-0
952600;False;Vinduer;8;True;35700;Udskiftning af ruder i facadepartier med termoruder;1-3-1-0
1050000;False;Solceller;1;True;73100;Etablering af solceller;4-1-3-0
1354500;False;Fladt tag;6;False;18600;Efterisolering af fladt tag med 200 mm isolering, så den samlede isolering udgør 300 mm ;1-1-2-0
1520000;False;Solvarme;2;False;47000;Etablering af solvarme og OBH - Solvarmebeholder;2-1-6-0
