Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
800;False;Varmtvandsrør;9;True;500;Isolering af tilslutningsrør til varmtvandsbeholder op til 60 mm;3-1-3-0
12000;False;Etageadskillelse;10;True;700;Efterisolering af gulv mod uopvarmet kælder med 200 mm isolering;1-4-2-0
14100;False;Yderdøre;2;False;400;Udskiftning til ny terrassedør med trelags energirude;1-3-3-0
16900;False;Varmefordelingspumper;8;False;400;Ny varmefordelingspumpe, som Grundfos Alpha2, 18 W;2-2-3-0
24500;False;Yderdøre;1;False;700;Udskiftning til ny yderdør med trelags energirude;1-3-3-0
35000;False;Solvarme;7;False;1400;Montering af plan solfanger til brugsvand;2-1-6-0
111200;False;Solceller;6;True;8600;Montage af nye solceller, Monokrystaliske silicium, 6 kW;4-1-3-0
130900;False;Belysning;11;True;107300;Udskiftning af ældre lys rør, med Led lysrør;4-1-1-0
684300;False;Ovenlys;4;False;14600;Udskiftning af ovenlysvindue til trelags energirude;1-3-2-0
771600;False;Vinduer;3;False;18500;Udskiftning af vindue til trelags energirude;1-3-1-0
962400;False;Fladt tag;5;False;13700;Efterisolering af etageadskillelse mod det fri med 200 mm isolering;1-1-2-0
3390700;False;Hule ydervægge;0;False;26400;Indvendig efterisolering af  betonydervægge med 250 mm;1-2-1-0
