Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
15000;False;Varmefordeling;78;False;500;Udskiftning af cirkulationspumpe i hal, Grundfos UPS 40-30/F.;2-2-0-0
17680;False;Vinduer, ovenlys og døre;71;False;300;Montering af energirude i ovenlys ved karnap.;1-3-0-0
20000;False;Varmt brugsvand;76;True;21600;"Udskiftning af varmtvandsbeholderen.
OBS: SE KOMMENTAR SIDE 8!";3-1-0-0
23200;False;Vinduer, ovenlys og døre;72;False;1300;Udskiftning af 2 lags termoruder i vinduer til energiruder;1-3-0-0
45000;False;Varmefordeling;77;False;0;Pumpen på varmeanlægget. Grundfos UMS 80-60 F06, udskiftes.;2-2-0-0
45000;False;Varmepumper;79;True;9000;Varmepumpe til opvarmning af varmt brugsvand.;2-1-5-0
50000;False;Solvarme;80;True;3800;Solvarmeanlæg til varmt brugsvand.;2-1-6-0
500000;False;Ventilation;81;Kan ikke beregnes;Kan ikke beregnes;Etablering af ventilation med genvinding i kontorlokalerne.;1-5-0-0
598000;False;Vinduer, ovenlys og døre;82;False;7700;Montering af forsatsrude(2 lags energirude) på ovenlys med 2 lags termorude;1-3-0-0
1951680;False;Ydervægge;74;False;29200;300 mm udvendig isolering på ydervæggene.;1-2-0-0
3538440;False;Tag og loft;73;False;26500;200 mm udvendig efterisolering på fladt tag.;1-1-0-0
8178000;False;Gulve;75;False;38500;Nyt terrændæk i hal.;1-4-0-0
