Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
7800;False;Vinduer;5;True;500;Udskiftning af vindue til trelags energirude, energiklasse A.;1-3-1-0
8100;False;Yderdøre;4;True;500;Udskiftning til ny yderdør med trelags energirude;1-3-3-0
8600;False;Yderdøre;7;True;400;Udskiftning til ny terrassedør med trelags energirude;1-3-3-0
11000;False;Terrændæk;1;False;200;Ophugning af eksisterende terrændæk og støbning af nyt med 300 mm mineraluld eller polystyrenplader;1-4-1-0
11200;False;Vinduer;8;True;700;Udskiftning af vindue til trelags energirude, energiklasse A.;1-3-1-0
12200;False;Yderdøre;3;True;800;Udskiftning til ny yderdør med trelags energirude;1-3-3-0
13200;False;Vinduer;6;True;800;Udskiftning af vindue til trelags energirude, energiklasse A.;1-3-1-0
14600;False;Yderdøre;9;True;800;Udskiftning til ny terrassedør med trelags energirude;1-3-3-0
15000;False;Varmepumper;10;True;5800;Installation af ny luft-til-luft-varmepumpe, Bosch Compress 5000 5.0;2-1-5-0
26000;False;Loft;0;True;1900;Efterisolering af loftsrum med 150 mm isolering;1-1-1-0
171000;False;Terrændæk;2;False;2000;Ophugning af eksisterende terrændæk og støbning af nyt med 300 mm mineraluld eller polystyrenplader;1-4-1-0
